model,dtype,xpu,cap,bw,sys_opb,hw,cores,pipe_level,is parallel,power constraint,gqa_size,Lin,Lout,bs,required_cap,s_flops,g_flops,s_time,s_matmul,s_fc,s_comm,s_softmax,s_act,s_lnorm,g_time (ms),g_matmul,g_fc,g_comm,g_etc,g_qkv_time,g_prj_time,g_ff_time,g2g_comm,c2g_comm,g_softmax,g_act,g_lnorm,g_energy (nJ),g_dram_energy,g_l2_energy,g_l1_energy,g_reg_energy,g_alu_energy,g_fc_mem_energy,g_fc_comp_energy,g_attn_mem_energy,g_attn_comp_energy,g_etc_mem_energy,g_etc_comp_energy,g_comm_energy
LLAMA-8B,W16A16,GPU,1280,1.0,93.07875894988067,BUFFER,8,True,True,True,0,21504,128,1,26913591136.0,4566342331609.701,27002142720.0,5824.412126067536,3278.2163841969236,180.72933297230767,91.49990707199998,2243.6199456633444,4.802074781538463,25.544481381422433,4.3088300296417055,0.5055959679999988,0.37791727241731876,2.719117994666685,0.7061987945577066,0.039782249052365624,0.012448125789695322,0.32568689757525854,2.7190087680000112,0.00010922666666666636,0.0,0.26535134657680204,0.4408474479809076,525451744.9162717,457594567.6029929,41606971.39199992,21202542.264319997,1577422.3564800003,3415715.348480006,447559363.46111673,66820547.54304005,9594770.7645952,922295.9923200001,440433.37727999955,59807.82591999982,54525.95200000017
LLAMA-8B,W16A16,GPU,1280,1.0,93.07875894988067,BUFFER,8,True,True,True,0,21504,128,1,26913591136.0,4566342331609.701,27002142720.0,5824.412126067536,3278.2163841969236,180.72933297230767,91.49990707199998,2243.6199456633444,4.802074781538463,25.544481381422433,4.366511181641704,0.5632771199999985,0.37791727241731876,2.719117994666685,0.7061987945577066,0.039782249052365624,0.012448125789695322,0.32568689757525854,2.7190087680000112,0.00010922666666666636,0.0,0.26535134657680204,0.4408474479809076,564629716.2186708,496772538.9053913,41606971.39199992,21202542.264319997,1577422.3564800003,3415715.348480006,447559363.46111673,66820547.54304005,48772742.06699527,922295.9923200001,440433.37727999955,59807.82591999982,54525.95200000017
LLAMA-8B,W16A16,GPU,1280,1.0,93.07875894988067,BUFFER,8,True,True,True,0,21504,128,64,741606676480.0,292245909223020.9,1728137134080.0,34908.81637200291,9834.64915259077,10743.871015384617,5684.956612608,6730.859836990034,307.3327860184616,1607.1469684110357,5.344643606163537,0.5632771199999985,1.0110119758035006,2.9861116586666814,0.7842428516933686,0.042023821423557435,0.02266802190088443,0.9463201324790578,2.9791211520000163,0.006990506666666647,0.0,0.26984618091532175,0.5143966707780443,1146318694.9603403,550388815.9408135,111635595.2639996,161243809.71007854,100955030.81472002,218605782.3027204,473409414.7584039,529585573.72416574,48791665.03649287,59026943.508480005,28187736.14591997,3827700.8588799885,3489660.928000011
LLAMA-8B,W16A16,GPU,1280,1.0,93.07875894988067,BUFFER,8,True,True,True,0,21504,128,1,26913591136.0,4566342331609.701,27002142720.0,5824.412126067536,3278.2163841969236,180.72933297230767,91.49990707199998,2243.6199456633444,4.802074781538463,25.544481381422433,4.69524945364171,0.8920153919999987,0.37791727241731876,2.719117994666685,0.7061987945577066,0.039782249052365624,0.012448125789695322,0.32568689757525854,2.7190087680000112,0.00010922666666666636,0.0,0.26535134657680204,0.4408474479809076,582398400.1482704,514541222.8349921,41606971.39199992,21202542.264319997,1577422.3564800003,3415715.348480006,447559363.46111673,66820547.54304005,66541425.9965952,922295.9923200001,440433.37727999955,59807.82591999982,54525.95200000017
LLAMA-8B,W16A16,GPU,1280,1.0,93.07875894988067,BUFFER,8,True,True,True,0,21504,128,64,741606676480.0,292245909223020.9,1728137134080.0,34908.81637200291,9834.64915259077,10743.871015384617,5684.956612608,6730.859836990034,307.3327860184616,1607.1469684110357,5.400282294163532,0.618915807999999,1.0110119758035006,2.9861116586666814,0.7842428516933686,0.042023821423557435,0.02266802190088443,0.9463201324790578,2.9791211520000163,0.006990506666666647,0.0,0.26984618091532175,0.5143966707780443,1153198952.5987399,557269073.5792134,111635595.2639996,161243809.71007854,100955030.81472002,218605782.3027204,473409414.7584039,529585573.72416574,55671922.67489268,59026943.508480005,28187736.14591997,3827700.8588799885,3489660.928000011
LLAMA-8B,W16A16,GPU,1280,1.0,93.07875894988067,BUFFER,8,True,True,True,0,21504,128,1,26913591136.0,4566342331609.701,27002142720.0,5824.412126067536,3278.2163841969236,180.72933297230767,91.49990707199998,2243.6199456633444,4.802074781538463,25.544481381422433,6.364976077641692,2.5617420160000073,0.37791727241731876,2.719117994666685,0.7061987945577066,0.039782249052365624,0.012448125789695322,0.32568689757525854,2.7190087680000112,0.00010922666666666636,0.0,0.26535134657680204,0.4408474479809076,706415664.3786654,638558487.0653888,41606971.39199992,21202542.264319997,1577422.3564800003,3415715.348480006,447559363.46111673,66820547.54304005,190558690.22699496,922295.9923200001,440433.37727999955,59807.82591999982,54525.95200000017
LLAMA-8B,W16A16,GPU,1280,1.0,93.07875894988067,BUFFER,8,True,True,True,0,21504,128,64,741606676480.0,292245909223020.9,1728137134080.0,34908.81637200291,9834.64915259077,10743.871015384617,5684.956612608,6730.859836990034,307.3327860184616,1607.1469684110357,5.400282294163532,0.618915807999999,1.0110119758035006,2.9861116586666814,0.7842428516933686,0.042023821423557435,0.02266802190088443,0.9463201324790578,2.9791211520000163,0.006990506666666647,0.0,0.26984618091532175,0.5143966707780443,1153198952.5987399,557269073.5792134,111635595.2639996,161243809.71007854,100955030.81472002,218605782.3027204,473409414.7584039,529585573.72416574,55671922.67489268,59026943.508480005,28187736.14591997,3827700.8588799885,3489660.928000011
LLAMA-8B,W16A16,GPU,1280,1.0,93.07875894988067,BUFFER,8,True,True,True,0,21504,128,64,741606676480.0,292245909223020.9,1728137134080.0,34908.81637200291,9834.64915259077,10743.871015384617,5684.956612608,6730.859836990034,307.3327860184616,1607.1469684110357,7.343108502163551,2.5617420160000073,1.0110119758035006,2.9861116586666814,0.7842428516933686,0.042023821423557435,0.02266802190088443,0.9463201324790578,2.9791211520000163,0.006990506666666647,0.0,0.26984618091532175,0.5143966707780443,1288104643.120338,692174764.1008099,111635595.2639996,161243809.71007854,100955030.81472002,218605782.3027204,473409414.7584039,529585573.72416574,190577613.19649255,59026943.508480005,28187736.14591997,3827700.8588799885,3489660.928000011
LLAMA-8B,W16A16,GPU,1280,1.0,93.07875894988067,BUFFER,8,True,True,True,0,21504,128,64,741606676480.0,292245909223020.9,1728137134080.0,34908.81637200291,9834.64915259077,10743.871015384617,5684.956612608,6730.859836990034,307.3327860184616,1607.1469684110357,5.673381878163543,0.8920153919999987,1.0110119758035006,2.9861116586666814,0.7842428516933686,0.042023821423557435,0.02266802190088443,0.9463201324790578,2.9791211520000163,0.006990506666666647,0.0,0.26984618091532175,0.5143966707780443,1164087378.8899403,568157499.8704143,111635595.2639996,161243809.71007854,100955030.81472002,218605782.3027204,473409414.7584039,529585573.72416574,66560348.966092795,59026943.508480005,28187736.14591997,3827700.8588799885,3489660.928000011
LLAMA-8B,W16A16,GPU,640,1.0,93.07875894988067,NONE,8,True,True,True,0,21504,128,64,741606676480.0,292245909223020.9,1728137134080.0,34908.81637200291,9834.64915259077,10743.871015384617,5684.956612608,6730.859836990034,307.3327860184616,1607.1469684110357,45.796855933658925,40.49968159483363,1.2198737578468128,2.9791211520000163,0.7842428516933686,0.16809528569422974,0.09067208760353772,0.9611063845490412,2.9791211520000163,0.0,0.313936577284852,0.26984618091532175,0.5143966707780443,25026756341.232174,21612043236.802692,1877430868.3775928,1156365665.5306,101622900.32640001,276501941.45280087,473409414.7584039,529585573.72416574,21110446085.89823,2878508101.104358,28187736.14591997,3827700.8588799885,2791728.7424000134
