L,nhead,dhead,dbyte,pim_type,power_constraint,page_scheduling,mod_score,mod_context,mac_mode,cycle,mac,softmax,mvgb,mvsb,wrgb,csv_file
21631,1,128,2,BUFFER,True,True,2,2,bank,20546,8192,33,2048,4608,128,3_page_selection_log_20251013_192948_selected_pages.csv
21631,1,128,2,BUFFER,True,True,1,1,bank,22890,44768,1664,3488,768,256,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
21631,1,128,2,BUFFER,True,False,1,1,bank,36249,60432,32,4096,8064,214,2_page_selection_log_20251013_194057_selected_pages.csv
21631,52,128,2,BUFFER,True,True,1,1,bank,25151,51200,1600,3008,768,256,mod4_35_page_selection_log_20251025_223314_selected_pages.csv
21631,52,128,2,BUFFER,True,False,1,1,bank,104102,172176,32,21518,22272,213,2_page_selection_log_20251013_194057_selected_pages.csv 
21631,52,128,2,BUFFER,True,True,1,1,bank,79206,173520,2720,21536,768,256,2_page_selection_log_20251013_194057_selected_pages.csv 
21631,52,128,2,BUFFER,True,True,1,1,bank,30014,61344,1616,4096,768,256,2_page_selection_log_20251013_194057_selected_pages.csv
21631,103,128,2,BUFFER,True,True,1,1,bank,22890,44768,1664,3488,768,256,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
21631,103,128,2,BUFFER,True,True,1,1,bank,25151,51200,1600,3008,768,256,mod4_35_page_selection_log_20251025_223314_selected_pages.csv
21631,103,128,2,BUFFER,True,True,1,1,bank,79206,173520,2720,21536,768,256,2_page_selection_log_20251013_194057_selected_pages.csv 
21631,103,128,2,BUFFER,True,True,1,1,bank,30014,61344,1616,4096,768,256,2_page_selection_log_20251013_194057_selected_pages.csv
21631,103,128,2,BUFFER,True,False,1,1,bank,104102,172176,32,21518,22272,213,2_page_selection_log_20251013_194057_selected_pages.csv 
21631,1,128,2,BUFFER,False,False,1,1,bank,16349,31760,32,11264,4608,213,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
21631,103,128,2,BUFFER,False,False,1,1,bank,64442,172176,32,21759,22272,213,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
21631,103,128,2,BUFFER,True,False,1,1,bank,87460,172176,32,21759,22272,213,mod4_35_page_selection_log_20251025_223314_selected_pages.csv
21631,103,128,2,BUFFER,True,False,1,1,bank,87460,172176,32,21759,22272,213,2_page_selection_log_20251013_194057_selected_pages.csv
21631,52,128,2,BUFFER,True,False,1,1,bank,87460,172176,32,21759,22272,213,2_page_selection_log_20251013_194057_selected_pages.csv
21631,52,128,2,BA,True,True,1,1,bank,79072,173376,2688,21504,768,256,mod1_page_selection_log_20251028_selected_pages.csv
21631,103,128,2,BA,True,True,1,1,bank,79072,173376,2688,21504,768,256,mod1_page_selection_log_20251028_selected_pages.csv
21631,52,128,2,BUFFER,True,False,1,1,bank,26757,44048,32,3968,6144,240,4_page_selection_log_20251013_193934_selected_pages.csv
21631,103,128,2,BA,False,False,1,1,bank,18734,31760,32,21759,4608,213,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
21631,103,128,2,BA,True,False,1,1,bank,23870,32784,32,21759,4864,213,mod4_35_page_selection_log_20251025_223314_selected_pages.csv
21631,103,128,2,BA,True,False,1,1,bank,19967,32784,32,21759,4608,213,2_page_selection_log_20251013_194057_selected_pages.csv
21631,103,128,2,BA,True,False,1,1,bank,87346,172048,32,21759,22016,213,mod1_page_selection_log_20251028_selected_pages.csv
639,52,128,2,BA,False,False,1,1,bank,1449,4240,32,544,1280,254,mod1_page_selection_log_20251028_selected_pages.csv
21631,52,128,2,BA,True,False,1,1,bank,87460,172176,32,21759,22272,213,mod4_35_page_selection_log_20251025_223314_selected_pages.csv
21631,52,128,2,BA,True,False,1,1,bank,87460,172176,32,21759,22272,213,2_page_selection_log_20251013_194057_selected_pages.csv
21631,52,128,2,BA,True,False,1,1,bank,87460,172176,32,21759,22272,213,mod1_page_selection_log_20251028_selected_pages.csv
2175,52,128,2,BA,False,False,1,1,bank,6074,16528,32,2302,2816,254,mod4_35_page_selection_log_20251025_223314_selected_pages.csv
1151,52,128,2,BA,False,False,1,1,bank,2961,8336,32,1279,1792,253,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
21631,103,128,2,BUFFER,True,False,1,1,bank,1461602,2754560,512,348160,356352,4096,mod1_page_selection_log_20251028_selected_pages.csv
21631,52,128,2,BUFFER,True,False,1,1,bank,1461602,2754560,512,348160,356352,4096,mod1_page_selection_log_20251028_selected_pages.csv
639,1,128,2,BUFFER,True,False,1,1,bank,2169,4240,32,544,1280,254,2_page_selection_log_20251013_194057_selected_pages.csv 
21631,103,128,2,BUFFER,True,False,1,1,bank,26333,44048,32,3968,6144,240,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
21631,52,128,2,BUFFER,True,False,1,1,bank,445823,1613840,32,4096,288,128,mod4_35_page_selection_log_20251025_223314_selected_pages.csv
21631,52,128,2,BUFFER,True,False,1,1,bank,21695,44048,32,3968,6144,240,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
21631,1,128,2,BUFFER,True,False,1,1,bank,26333,44048,32,3968,6144,240,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
21631,1,128,2,BUFFER,True,False,1,1,bank,29461,50448,32,4096,6912,230,mod4_35_page_selection_log_20251025_223314_selected_pages.csv
21631,1,128,2,BUFFER,True,True,1,1,bank,79206,173520,2720,21536,768,256,2_page_selection_log_20251013_194057_selected_pages.csv
21631,1,128,2,BUFFER,True,True,1,1,bank,79206,173520,2720,21536,768,256,2_page_selection_log_20251013_194057_selected_pages.csv 
21631,26,128,2,BUFFER,True,True,1,1,bank,79206,173520,2720,21536,768,256,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
21631,26,128,2,BUFFER,True,True,1,1,bank,30014,61344,1616,4096,768,256,2_page_selection_log_20251013_194057_selected_pages.csv 
21631,52,128,2,BUFFER,False,False,1,1,bank,416682,1409040,32,3968,5760,128,mod8_4_page_selection_log_20251013_193934_selected_pages.csv
